#session	captureid	ocassion	trapid
1	14353	1	20M
1	62552	1	11M
1	62542	1	09M
1	65552	1	12M
1	63322	1	14M
1	62334	1	20M
1	62525	1	01M
1	62525	2	01M
1	62232	2	06M
1	64242	2	16M
1	13343	2	12M
1	63555	2	03M
1	63554	2	10M
1	65544	2	01M
1	62545	2	14M
1	63255	3	13M
1	64432	3	13M
1	64223	3	11M
1	62544	3	03M
1	64453	3	02M
1	64523	3	01M
1	65524	3	02M
1	64222	3	06M
1	65522	3	02M
1	65325	3	13M
1	13343	3	11M
1	62555	3	02M
1	64255	4	03M
1	65545	4	19M
1	14424	4	11M
1	12345	4	20M
1	64243	4	12M
1	63552	4	14M
1	62525	4	01M
1	65552	4	12M
1	63255	4	13M
1	64222	4	16M
1	65542	5	01M
1	64235	5	20M
1	64225	5	20M
1	64323	5	14M
1	62553	5	07M
1	63553	5	15M
1	65535	5	05M
1	12345	5	20M
1	65554	5	20M
1	64233	5	14M
1	62232	5	06M
1	64235	6	20M
1	63552	6	15M
1	65555	6	15M
1	65522	6	01M
1	63552	6	15M
1	64454	6	09M
1	64223	6	12M
1	64524	6	11M
1	62524	6	07M
2	12445	1	11M
2	65455	1	13M
2	65443	1	02M
2	62344	1	11M
2	14334	2	11M
2	65454	2	15M
2	65453	2	11M
2	62544	2	03M
2	62553	2	08M
2	65445	2	10M
2	65442	2	08M
2	65444	2	16M
2	62524	2	08M
2	14424	2	12M
2	65435	3	14M
2	64322	3	12M
2	65242	3	01M
2	65234	3	19M
2	62232	3	06M
2	65224	4	13M
2	63552	4	06M
2	65542	4	01M
2	62553	4	09M
2	65233	4	13M
2	14334	4	11M
2	65235	4	08M
2	65435	4	14M
2	65243	5	08M
2	62542	5	09M
2	65255	5	07M
2	65233	5	12M
2	64323	5	07M
2	65225	5	12M
2	65555	5	14M
2	65542	5	01M
