#Name	POINT_X	POINT_Y
01M	-623776.841	-1187090.62
02M	-623759.8639	-1187097.002
03M	-623747.2551	-1187102.893
04M	-623731.7341	-1187109.111
05M	-623719.9773	-1187116.025
06M	-623706.6403	-1187121.998
07M	-623694.7595	-1187127.807
08M	-623680.6944	-1187133.862
09M	-623667.0014	-1187143.231
10M	-623653.1843	-1187151.496
11M	-623660.497	-1187164.103
12M	-623675.7702	-1187155.675
13M	-623685.467	-1187150.111
14M	-623702.9243	-1187141.438
15M	-623713.9531	-1187134.605
16M	-623728.2662	-1187130.761
17M	-623741.4791	-1187123.683
18M	-623752.6318	-1187117.955
19M	-623764.5126	-1187112.146
20M	-623778.4535	-1187104.986
